metric,value
baseline_years,2003-2019
global_anomaly_2020,-0.008321994114397454
negative_contribution_sum_2020,-0.010342467642246245
positive_contribution_sum_2020,0.0020204735278487903
global_anomaly_2021,0.003612389093430741
negative_contribution_sum_2021,-0.011941795265049316
positive_contribution_sum_2021,0.015554184358480059
global_anomaly_2022,0.02264884552410361
negative_contribution_sum_2022,-0.008305523863191807
positive_contribution_sum_2022,0.030954369387295413
global_anomaly_2023,0.007858318674881218
negative_contribution_sum_2023,-0.016659926393923535
positive_contribution_sum_2023,0.024518245068804755
global_anomaly_2024,-0.019200686792934997
negative_contribution_sum_2024,-0.021769783848071714
positive_contribution_sum_2024,0.0025690970551367188
global_anomaly_2025,-0.05296994164870292
negative_contribution_sum_2025,-0.05430745404734146
positive_contribution_sum_2025,0.0013375123986385299
mean_contribution_2024_2025_East China,-0.006532090679126487
mean_regional_anomaly_2024_2025_East China,-0.17752823952507701
mean_contribution_2024_2025_India,0.001953304726887624
mean_regional_anomaly_2024_2025_India,0.05802248889458718
mean_contribution_2024_2025_North Africa/Sahel,-0.005380338043125844
mean_regional_anomaly_2024_2025_North Africa/Sahel,-0.044105715235731265
mean_contribution_2024_2025_Middle East,-0.0007768006218222106
mean_regional_anomaly_2024_2025_Middle East,-0.018263085626608166
mean_contribution_2024_2025_Tropical S. America,-0.005633851609412276
mean_regional_anomaly_2024_2025_Tropical S. America,-0.07640336378270916
mean_contribution_2024_2025_Europe,-0.0026581517892985103
mean_regional_anomaly_2024_2025_Europe,-0.049725188904111636
mean_contribution_2024_2025_CONUS,-0.0016179980422057906
mean_regional_anomaly_2024_2025_CONUS,-0.022549065764634585
mean_contribution_2024_2025_Other land DB domain,-0.015439388162715468
mean_regional_anomaly_2024_2025_Other land DB domain,-0.027276093252052304
