region,variable,reference_2008_2017,mean_2024_2025,anomaly_2024_2025,value_2025,anomaly_2025
Global,total_aod,0.13827386207741496,0.13831549208756028,4.1630010145315977e-05,0.13341575882466825,-0.004858103252746715
Global,dust_aod,0.029328013423424937,0.026553896195116958,-0.0027741172283079797,0.02612591698231251,-0.003202096441112426
East China,total_aod,0.4115113897128711,0.3331485925000859,-0.07836279721278522,0.3210660138788501,-0.09044537583402101
East China,dust_aod,0.04998869391992213,0.04174321437564084,-0.008245479544281294,0.0441458674442263,-0.005842826475695832
East Asia,total_aod,0.3240384807582122,0.2687737472548903,-0.055264733503321894,0.260751011441099,-0.06328746931711315
East Asia,dust_aod,0.0446335414457285,0.03747142850936049,-0.007162112936368009,0.03882497452776994,-0.0058085669179585644
India,total_aod,0.3041754700684224,0.3264965034180308,0.022321033349608443,0.32361860501309125,0.01944313494466887
India,dust_aod,0.08383569394363675,0.07294829995477861,-0.010887393988858143,0.08062381933821662,-0.003211874605420134
North Africa/Sahel,total_aod,0.3261389347335794,0.30380776443873037,-0.022331170294849045,0.29203920126270383,-0.03409973347087558
North Africa/Sahel,dust_aod,0.2280292192361427,0.1955091165333268,-0.032520102702815884,0.18457330453353693,-0.043455914702605763
Middle East,total_aod,0.32972491561430356,0.3079552227528937,-0.02176969286140984,0.317869783584981,-0.011855132029322535
Middle East,dust_aod,0.2021801481168668,0.17460249193997932,-0.027577656176887483,0.18449975168171706,-0.017680396435149737
Tropical S. America,total_aod,0.14744020285821974,0.17120458952269701,0.023764386664477277,0.12443519471823694,-0.023005008139982797
Tropical S. America,dust_aod,0.015970746677991435,0.01937116286399001,0.003400416185998574,0.016949251172766817,0.000978504494775382
Europe,total_aod,0.16079042136673716,0.15761163463654443,-0.0031787867301927286,0.15305505583814438,-0.007735365528592775
Europe,dust_aod,0.03715365642397247,0.038636032681377774,0.001482376257405306,0.03259346869357363,-0.004560187730398839
CONUS,total_aod,0.1308783330864975,0.1291801041399994,-0.0016982289464980982,0.12767486468906528,-0.003203468397432213
CONUS,dust_aod,0.01771480706992739,0.01555488090512588,-0.0021599261648015088,0.015331662586049706,-0.002383144483877683
