metric,value
target_year,2025
baseline_years_for_spatial_t_test,2003-2019
reference_years_for_anomaly_plot,2008-2017
global_baseline_2003_2019_mean_aod,0.29413466485143
global_baseline_2003_2019_std_aod,0.006589996605009772
global_reference_2008_2017_mean_aod,0.2948307713270433
global_2025_aod,0.24105408778538642
global_2025_minus_2003_2019,-0.053080577066043605
global_2025_minus_2008_2017,-0.05377668354165685
global_2025_percent_difference_from_2003_2019,-18.046352031595823
global_2025_z_vs_2003_2019,-8.054719941083322
global_2025_t_vs_2003_2019,-7.82778075048467
global_2025_two_sided_p_vs_2003_2019,7.346037746790084e-07
global_2025_rank_from_lowest_2003_2025,1
area_fraction_significant_p_lt_0p05,0.2769915346252192
area_fraction_significant_negative,0.2527196596164602
area_fraction_significant_positive,0.024271875008759013
